time,I
1.721943,3.98
1.879483,13.97
2.041914,22.01
2.198562,34.02
2.359314,56.97
2.518875,89.03
2.680675,67.03
2.841507,16.00
3.001242,2.97
3.159730,0.00
3.479905,1.01
3.800326,2.97
3.963416,2.03
4.281333,5.00
4.444982,3.98
4.600205,2.97
4.764555,2.03
5.082368,2.97
5.240903,2.03
5.404747,1.01
5.562699,2.03
6.042499,1.01
6.199405,2.97
6.362613,1.01
6.522219,2.97
6.683802,2.03
7.164421,1.01
7.320368,2.03
7.641224,1.01
7.801721,2.03
8.282077,2.97
8.441692,2.03
8.603124,2.03
8.763999,1.01
8.923149,2.03
9.239872,2.97
9.402685,1.01
9.561267,2.03
9.881878,2.97
10.042400,2.03
10.203881,1.01
10.360645,2.97
10.521532,3.98
10.683797,5.00
10.841396,2.97
11.004547,5.00
11.160578,3.98
11.640797,5.00
11.803106,2.97
12.124538,3.98
12.443628,5.00
12.604045,3.98
12.763671,2.97
12.924411,3.98
13.401408,5.00
13.562763,3.98
13.724320,2.97
13.882231,3.98
14.201779,5.00
14.361567,6.01
14.681138,3.98
14.844487,7.02
15.004496,3.98
15.321328,5.00
15.481693,3.98
15.645061,5.00
16.763388,6.01
17.562787,7.02
18.363254,8.03
18.523723,8.03
18.683267,8.03
19.001568,8.98
19.319549,9.99
19.642173,11.00
20.122091,12.02
20.763183,13.03
21.246357,13.97
22.524150,14.99
23.003493,16.00
23.802952,17.01
25.243311,18.02
27.645095,18.97
27.964429,18.02
28.124301,18.97
28.604405,18.97
28.764185,18.97
31.003136,19.98
35.006617,20.99
35.163200,19.98
35.321328,20.99
35.480343,19.98
35.641432,20.99
37.243004,22.01
37.399533,20.99
37.563033,22.01
37.723986,20.99
38.203185,22.01
38.363406,20.99
38.683085,20.99
38.840700,20.99
39.961481,22.01
40.442912,20.99
41.404880,22.01
42.845653,20.99
43.001937,22.01
45.562798,23.02
46.680485,22.01
47.484361,23.02
48.763443,23.02
48.921074,23.02
51.804292,24.03
53.401706,23.02
53.561278,24.03
53.721703,23.02
54.042469,24.03
54.203154,23.02
54.521179,24.03
57.565332,24.98
57.882510,24.03
58.198926,24.98
58.841156,24.98
59.003736,24.98
59.170514,24.03
59.639683,24.98
59.961127,24.03
60.764212,24.98
61.402379,24.03
62.683823,24.98
65.081305,25.99
65.405833,24.98
65.719429,25.99
68.919292,25.99
69.083511,25.99
71.484305,27.00
75.799198,27.00
76.125975,25.99
76.282702,27.00
76.922338,28.01
77.402441,27.00
77.560431,28.01
77.723649,27.00
78.838739,28.01
79.003031,28.01
79.159963,28.01
80.602935,27.00
81.722791,28.01
81.884744,27.00
82.201813,28.01
82.684880,27.00
83.960476,25.99
84.284011,27.00
84.760890,28.01
88.445653,27.00
88.764923,28.01
89.082366,29.03
89.239629,29.03
89.399537,28.01
92.284642,29.03
92.443135,28.01
93.243680,29.03
97.561672,29.03
99.167014,29.97
99.323167,29.97
102.199724,29.03
102.358833,29.97
103.001663,29.03
104.762634,29.97
109.080825,29.03
109.244420,29.97
109.404839,29.97
109.881845,29.03
111.484659,29.97
111.803229,29.03
112.601271,29.97
113.720255,30.98
114.683717,29.97
119.003959,29.97
119.323805,29.97
119.484516,29.97
119.962363,29.03
120.439021,29.97
121.407343,30.98
121.724229,29.97
122.362003,30.98
123.802654,32.00
124.282921,30.98
124.763265,32.00
125.081636,30.98
125.239480,32.00
129.402650,32.00
129.561128,32.00
130.045276,30.98
130.681456,32.00
131.643932,30.98
131.805315,32.00
131.960477,30.98
132.761667,32.00
133.725468,30.98
133.883171,32.00
138.202024,32.00
139.484235,33.01
139.641593,33.01
141.564314,34.02
141.724408,33.01
142.204932,34.02
142.371687,33.01
143.323390,34.02
143.642229,33.01
145.082840,34.02
148.765274,35.03
149.083351,34.02
149.563018,34.02
149.723207,34.02
152.602316,35.03
152.920256,34.02
153.242298,35.03
153.405932,34.02
153.564633,35.03
153.723937,34.02
154.682779,35.03
157.721919,35.98
159.641733,35.98
159.804746,35.98
160.605425,35.03
161.562380,35.98
162.042190,35.03
165.562880,35.98
165.724248,35.03
165.883853,35.98
168.121287,36.99
169.723384,36.99
169.884639,36.99
170.523190,35.98
172.121836,36.99
172.439849,35.98
172.761550,36.99
173.561328,35.98
177.399939,36.99
178.523497,38.00
179.801355,38.00
179.964906,38.00
180.283889,36.99
181.243525,38.00
182.363165,36.99
182.521454,38.00
185.883416,39.02
186.361498,38.00
189.566033,39.02
189.883840,38.00
190.039816,38.00
190.204524,39.02
191.642282,38.00
192.282810,39.02
192.762763,38.00
193.243707,39.02
194.206616,40.03
196.443307,39.02
196.921395,40.03
198.199071,39.02
198.359517,40.03
198.519314,39.02
199.962931,39.02
200.121374,39.02
200.281254,40.03
204.605838,40.03
208.924685,40.03
210.041831,40.03
210.202205,40.03
214.523249,40.03
215.485957,40.97
216.281228,40.03
216.439333,40.97
217.240613,40.03
217.561452,40.97
218.519844,40.03
219.803468,40.97
220.124743,40.97
220.284811,40.03
221.081089,40.97
224.281897,40.03
225.080498,40.97
229.241312,41.99
230.204438,41.99
230.361255,41.99
231.483986,40.97
232.763922,41.99
234.201141,40.97
234.518809,41.99
234.683336,40.97
234.842269,41.99
239.160258,41.99
239.964712,43.00
240.282597,43.00
240.443944,43.00
243.645215,44.01
243.805520,43.00
243.962308,44.01
244.120351,43.00
244.919898,44.01
245.245669,43.00
245.883077,44.01
247.010680,43.00
248.445905,44.01
250.360544,44.01
250.522156,44.01
254.042830,45.02
255.320040,44.01
255.642380,45.02
258.365483,45.97
258.523200,45.02
260.439972,44.01
260.600169,45.02
261.885464,45.97
262.041700,45.02
262.362262,45.97
262.843371,45.02
263.964826,45.97
264.926925,45.02
265.084414,45.97
265.562690,45.02
266.044862,45.97
266.362575,45.02
267.323396,45.97
268.766036,45.02
269.242734,45.97
270.042861,45.02
270.522481,45.02
270.681225,45.02
271.004971,45.97
274.842762,46.98
276.285371,45.97
276.761806,46.98
277.083355,45.97
277.243476,46.98
277.882029,45.97
278.522515,46.98
279.963031,45.97
280.123813,46.98
280.602317,46.98
280.759187,46.98
283.960645,47.99
286.204384,46.98
286.682348,47.99
287.642910,46.98
287.811035,47.99
289.563479,49.01
289.725049,47.99
290.682417,47.99
290.842598,47.99
292.121774,46.98
292.284856,47.99
295.003878,49.01
299.323793,49.01
300.765397,47.99
300.924600,47.99
301.723305,49.01
305.400949,50.02
305.721350,49.01
307.004929,50.02
307.485493,49.01
308.605555,50.02
308.923638,49.01
309.084537,50.02
309.241813,49.01
309.883452,50.02
310.039728,49.01
310.361271,50.02
310.523563,49.01
310.680410,50.02
310.841642,49.01
311.002096,49.01
311.161032,50.02
311.803378,51.03
311.962724,50.02
315.169996,49.01
317.886270,50.02
318.843230,51.03
319.321497,50.02
319.484517,51.03
320.922578,51.03
321.082360,51.03
325.244239,50.02
325.403768,51.03
326.364917,50.02
326.683556,51.03
327.165301,50.02
328.121094,51.03
328.439947,50.02
330.684548,51.03
330.843479,50.02
331.006418,51.03
331.163634,51.03
332.125654,50.02
332.441465,51.03
332.604127,50.02
332.760990,51.03
333.564847,50.02
334.366125,51.03
334.682413,51.98
334.841663,51.03
337.883379,50.02
338.043024,51.03
341.082229,51.03
341.242199,51.03
341.567880,50.02
342.682163,51.03
