I,V,R
0.001751,0.001,0.571102227
0.003532,0.002,0.566251416
0.005313,0.003,0.564652739
0.007095,0.004,0.563777308
0.008876,0.005,0.563316809
0.010658,0.006,0.562957403
0.012441,0.007,0.562655735
0.014221,0.008,0.562548344
0.016003,0.009,0.562394551
0.017785,0.01,0.562271577
0.019566,0.010998,0.562097516
0.021349,0.011999,0.562040377
0.023132,0.013,0.561992046
0.024916,0.014,0.561887943
0.026698,0.015,0.561839838
0.02848,0.015999,0.56176264
0.030259,0.016999,0.561783271
0.032037,0.017998,0.561787933
0.033821,0.018998,0.561722007
0.0356,0.019997,0.561713483
0.037382,0.020998,0.561714194
0.039167,0.021999,0.561671816
0.040943,0.022999,0.561732164
0.042725,0.024,0.561732007
0.044502,0.024999,0.561750034
0.046285,0.026001,0.561758669
0.048064,0.027,0.561750999
0.049843,0.028001,0.561784002
0.051624,0.029001,0.561773594
0.053403,0.03,0.561766193
0.055182,0.031,0.561777391
0.05696,0.031999,0.561780197
0.058745,0.032999,0.561732913
0.060524,0.033998,0.561727579
0.062308,0.034999,0.561709572
0.064089,0.036001,0.561734463
0.065872,0.037,0.561695409
0.067655,0.038001,0.561687976
0.069436,0.039001,0.561682701
0.071218,0.040002,0.561683844
0.072998,0.041001,0.561672923
0.074779,0.042002,0.561681756
0.076559,0.043001,0.561671391
0.07834,0.044001,0.561667092
0.080125,0.045001,0.561634945
0.081904,0.046,0.561633131
0.083689,0.047,0.561603078
0.085471,0.048,0.561593991
0.087258,0.049001,0.561564556
0.089045,0.050001,0.561525072
0.090835,0.051002,0.561479606
0.092623,0.052003,0.56144802
0.094408,0.053003,0.561424879
0.096189,0.054004,0.561436339
0.097973,0.055003,0.561409776
0.099762,0.056003,0.561366051
0.101542,0.057002,0.561363771
0.103327,0.058002,0.561344082
0.10511,0.059003,0.561345257
0.106893,0.060001,0.561318328
0.108679,0.061002,0.561304392
0.110458,0.062001,0.561308371
0.112231,0.063002,0.561360052
0.114006,0.064002,0.561391506
0.115789,0.065003,0.561391842
0.117572,0.066002,0.561375157
0.119352,0.067003,0.561389838
0.121133,0.068004,0.561399453
0.122913,0.069003,0.561397086
0.124696,0.070003,0.561389299
0.126479,0.071002,0.561373825
0.128263,0.072002,0.561362201
0.130048,0.073,0.561331201
0.131835,0.074,0.561307695
0.133627,0.075001,0.5612713
0.135416,0.076,0.561233532
0.137204,0.077002,0.561222705
0.13899,0.078001,0.561198647
0.140781,0.079002,0.561169476
0.142569,0.080001,0.561138817
0.144356,0.081002,0.561126659
0.146147,0.082001,0.561085756
0.147936,0.083001,0.561060188
0.14973,0.084002,0.561023175
0.151518,0.085,0.560989453
0.153308,0.086,0.560962246
0.155095,0.086999,0.560940069
0.156885,0.087999,0.560914045
0.158678,0.088999,0.560878005
0.160476,0.09,0.560831526
0.162269,0.091001,0.560803357
0.164064,0.092,0.560756778
0.165863,0.093002,0.560715771
0.167662,0.094001,0.560657752
0.169461,0.095002,0.560612766
0.171263,0.096001,0.560547229
0.173067,0.097001,0.560482357
0.174864,0.098002,0.560446976
0.176663,0.099,0.560388989
0.178467,0.100001,0.560333283
0.180273,0.101,0.560261381
0.182079,0.102,0.560196398
0.183883,0.103,0.560138784
0.18569,0.104001,0.560078626
0.187493,0.105001,0.560026241
0.189618,0.106025,0.559150503
0.191418,0.107014,0.559059232
0.193236,0.108029,0.559052143
0.195018,0.109018,0.559015065
0.196831,0.110031,0.559012554
0.198649,0.111022,0.55888527
0.200426,0.11203,0.558959416
0.202169,0.113018,0.559027348
0.203929,0.114009,0.559062223
0.205761,0.115021,0.559002921
0.207542,0.116016,0.559000106
0.209383,0.117025,0.558904018
0.211187,0.118025,0.558864892
0.212996,0.119032,0.558846176
0.2148,0.12002,0.558752328
0.216637,0.121039,0.55871804
0.218415,0.122023,0.558674999
0.220231,0.123021,0.558599834
0.222075,0.124031,0.558509513
0.223871,0.125019,0.558442139
0.225687,0.126027,0.558414973
0.227491,0.127022,0.558360551
0.229336,0.128033,0.558276939
0.231149,0.129022,0.55817676
0.232993,0.130033,0.558098312
0.234777,0.131023,0.558074258
0.236602,0.132011,0.55794541
0.238436,0.133013,0.557856196
0.240235,0.134011,0.557832955
0.242069,0.135017,0.557762456
0.243865,0.136013,0.557738913
0.245709,0.137022,0.557659671
0.247537,0.138019,0.557569171
0.249394,0.139024,0.557447252
0.251216,0.140022,0.557376919
0.253023,0.141013,0.557312972
0.254878,0.142025,0.557227379
0.256698,0.143017,0.557141076
0.258549,0.144027,0.557058817
0.260375,0.145021,0.556969755
0.262231,0.146031,0.55687924
0.264046,0.147023,0.556808283
0.265889,0.148031,0.556739843
0.267722,0.149024,0.556637109
0.269554,0.150012,0.556519287
0.271404,0.151023,0.5564509
