I,V,R
0.01978,0.0016,0.080889788
0.039617,0.0032,0.080773405
0.059458,0.0048,0.080729254
0.079313,0.0064,0.080692951
0.099177,0.008,0.080663864
0.119068,0.0096,0.080626197
0.138979,0.011199,0.080580519
0.158935,0.012799,0.080529776
0.178917,0.014399,0.080478658
0.198934,0.015998,0.080418631
0.218895,0.017597,0.080390141
0.23894,0.019197,0.080342345
0.25907,0.020798,0.080279461
0.279255,0.022399,0.080209844
0.299491,0.023999,0.080132625
0.319795,0.0256,0.080051283
0.340161,0.027201,0.079965075
0.360583,0.0288,0.079870654
0.381066,0.030399,0.079773583
0.401642,0.031998,0.079667963
0.422274,0.033598,0.079564453
0.443004,0.035198,0.079453007
0.463837,0.036801,0.079340372
0.484721,0.038401,0.079222893
0.505697,0.040002,0.079102704
0.526767,0.041602,0.078976094
0.547914,0.043201,0.078846315
0.56917,0.0448,0.078711106
0.590525,0.046399,0.078572457
0.611949,0.047999,0.078436275
0.633496,0.0496,0.07829568
0.655165,0.051202,0.078151305
0.676944,0.052803,0.078002021
0.698822,0.054404,0.077851012
0.720797,0.056003,0.077695939
0.74287,0.057602,0.077539812
0.765092,0.059201,0.077377623
0.787451,0.060801,0.077212423
0.810024,0.062401,0.077035989
0.832618,0.064002,0.076868384
0.855436,0.065602,0.076688379
0.87837,0.067204,0.076509899
0.901317,0.068804,0.076337182
0.924518,0.070403,0.076151032
0.947851,0.072001,0.075962361
0.97134,0.0736,0.075771614
0.994976,0.0752,0.075579712
1.018881,0.0768,0.07537681
1.042773,0.0784,0.075184148
1.067055,0.080001,0.074973642
1.091386,0.081601,0.07476823
1.11603,0.083202,0.074551759
1.140535,0.084801,0.074351949
1.165488,0.0864,0.074132037
1.190716,0.087999,0.073904273
1.215917,0.089599,0.073688418
1.241619,0.0912,0.073452484
1.267222,0.0928,0.073231052
1.293112,0.094401,0.073002957
1.319135,0.096001,0.07277572
1.345785,0.097602,0.072524214
1.372161,0.099201,0.072295452
1.398926,0.1008,0.072055277
1.426022,0.1024,0.071808149
1.453347,0.104001,0.071559648
1.483842,0.105609,0.071172672
1.511688,0.107195,0.070910796
1.539578,0.108804,0.070671314
1.567919,0.110402,0.070413076
1.596674,0.112008,0.070150826
1.625584,0.113606,0.069886269
1.654904,0.115209,0.069616727
1.684403,0.116812,0.0693492
1.713852,0.118402,0.069085312
1.744062,0.12001,0.068810627
1.774961,0.121617,0.068518125
1.805564,0.123223,0.068246265
1.836749,0.124801,0.067946682
1.867893,0.126416,0.067678395
1.899989,0.128015,0.067376706
1.931255,0.129604,0.067108694
1.963781,0.131213,0.066816514
1.996614,0.132815,0.066520119
2.030217,0.134417,0.066208194
2.063745,0.136,0.065899615
2.097292,0.137611,0.065613658
2.160283,0.139204,0.064437854
2.196289,0.140785,0.064101309
2.229179,0.142387,0.063874189
2.26242,0.143988,0.063643355
2.29573,0.14558,0.06341338
2.329533,0.147183,0.063181333
2.363459,0.148784,0.062951801
2.397843,0.15039,0.062718869
2.432133,0.151977,0.062487125
2.467562,0.153584,0.062241192
2.50314,0.155189,0.061997731
2.538335,0.156776,0.061763321
2.574259,0.158377,0.061523335
2.611285,0.159985,0.061266771
2.647945,0.161591,0.061025059
2.68467,0.163183,0.060783262
2.722444,0.164785,0.060528334
2.760629,0.16639,0.060272496
2.79905,0.167979,0.060012862
2.837427,0.169586,0.059767529
2.877089,0.171194,0.059502504
2.916899,0.172803,0.059242024
2.955965,0.174384,0.058993933
2.996624,0.175979,0.058725753
3.037527,0.17759,0.058465324
3.078526,0.179174,0.05820123
3.120463,0.180782,0.057934351
3.163254,0.182386,0.057657716
3.205938,0.183987,0.057389444
3.248397,0.185575,0.057128177
3.292055,0.187179,0.056857799
3.336943,0.188785,0.056574236
3.381648,0.190375,0.056296516
3.426337,0.191978,0.056030099
3.472321,0.193584,0.055750606
3.518102,0.195176,0.055477641
3.565163,0.196783,0.055196074
3.612667,0.198384,0.054913448
3.66089,0.199994,0.054629885
3.709,0.201572,0.054346724
3.758637,0.203184,0.054057894
3.808876,0.204785,0.053765205
3.85933,0.206385,0.053476899
3.910868,0.207989,0.053182311
3.962264,0.209588,0.052896021
4.015215,0.211194,0.052598429
4.067814,0.212788,0.05231016
4.120936,0.214388,0.052024103
4.176339,0.215994,0.051718503
4.231468,0.217578,0.051419035
4.287579,0.219189,0.051121857
4.343998,0.220803,0.050829443
4.402408,0.222405,0.050518943
4.46021,0.223985,0.050218487
4.518867,0.225591,0.049922027
4.578971,0.227202,0.049618572
4.638793,0.228784,0.049319726
4.700467,0.230388,0.049013853
4.763551,0.231999,0.048702953
4.82669,0.233598,0.048397142
4.889656,0.235192,0.048099907
4.955079,0.236794,0.047788138
5.021215,0.238402,0.047478947
5.087464,0.23999,0.047172815
5.15614,0.241592,0.046855206
5.225495,0.243202,0.046541428
5.294889,0.244794,0.046232131
5.36522,0.246403,0.045925983
5.438332,0.248008,0.045603689
5.511602,0.249611,0.045288285
5.586227,0.251202,0.044968097
5.660707,0.252805,0.044659616
5.737792,0.254402,0.044337961
5.815022,0.256001,0.044024081
5.892649,0.257597,0.043714974
5.97438,0.259205,0.043386092
6.055221,0.260805,0.043071095
6.137444,0.262395,0.04275314
6.22007,0.264004,0.042443895
6.306384,0.265605,0.042116845
6.389692,0.267197,0.041816883
6.4794,0.268797,0.04148486
6.569823,0.270399,0.04115773
6.661041,0.272008,0.040835659
6.751818,0.273589,0.04052079
6.845105,0.2752,0.040203912
6.93871,0.276803,0.039892574
7.036403,0.278385,0.039563538
7.134372,0.27999,0.03924522
7.235064,0.281598,0.038921287
7.336211,0.283198,0.038602761
7.43875,0.284786,0.03828412
7.542664,0.286387,0.037968946
7.649003,0.288002,0.037652227
7.758361,0.289578,0.037324636
7.867781,0.291183,0.037009546
7.977917,0.292786,0.036699555
8.092625,0.294366,0.0363746
8.209339,0.295978,0.036053816
8.3262,0.297576,0.035739713
8.448374,0.299178,0.035412495
8.569023,0.300767,0.035099334
8.692141,0.302373,0.034786941
8.820969,0.303969,0.03445982
8.94684,0.30556,0.034152841
9.07748,0.307165,0.033838136
9.209144,0.308774,0.033529066
9.34692,0.310371,0.033205698
9.484667,0.311961,0.032891086
9.626296,0.313564,0.032573692
9.770541,0.315169,0.032257067
9.91593,0.316759,0.031944457
10.064162,0.318364,0.031633434
10.214302,0.319961,0.031324803
10.363599,0.321565,0.031028314
10.513832,0.32315,0.030735701
10.676746,0.324754,0.030416945
10.839922,0.326357,0.030106951
11.000291,0.327944,0.029812302
11.172666,0.329553,0.029496362
11.340468,0.331155,0.029201176
11.525696,0.332761,0.028871228
11.699492,0.33435,0.028578164
11.88281,0.335953,0.028272185
12.065563,0.337555,0.02797673
12.24479,0.339143,0.027696923
12.437117,0.340747,0.027397587
12.633367,0.34235,0.027098872
12.828373,0.343942,0.026811038
13.027012,0.345543,0.026525116
13.228725,0.347146,0.026241834
13.44026,0.34875,0.025948159
13.638213,0.350339,0.025688043
13.865582,0.351948,0.025382851
14.070639,0.353544,0.025126364
14.29506,0.355138,0.024843407
14.522824,0.356741,0.024564162
14.754653,0.358347,0.02428705
14.992788,0.359941,0.02400761
15.211637,0.361537,0.023767133
15.466761,0.363139,0.023478671
15.706789,0.364736,0.023221551
15.945368,0.366328,0.022973945
16.209427,0.367935,0.022698828
16.455538,0.36954,0.022456877
16.722158,0.371131,0.022193966
16.970455,0.372725,0.021963171
17.239601,0.374321,0.021712858
17.505548,0.375926,0.021474678
17.781244,0.377521,0.021231417
18.064524,0.379126,0.020987323
18.354012,0.38073,0.020743694
18.635782,0.382332,0.020516016
18.928675,0.383918,0.020282349
19.210188,0.385523,0.020068674
19.513256,0.387127,0.01983918
19.82188,0.388716,0.019610451
20.127281,0.390324,0.019392783
20.434074,0.391924,0.019179925
20.735661,0.39351,0.018977451
20.998407,0.395115,0.018816427
21.001457,0.393665,0.018744652
21.001471,0.390218,0.018580508
21.001469,0.387305,0.018441805
