x,y
-3.5360001e-02,2.00000e+00,
-3.5350002e-02,2.00000e+00,
-3.5340004e-02,2.00000e+00,
-3.5330005e-02,2.00000e+00,
-3.5320006e-02,2.00000e+00,
-3.5310008e-02,2.00000e+00,
-3.5300009e-02,2.00000e+00,
-3.5290010e-02,2.00000e+00,
-3.5280012e-02,2.00000e+00,
-3.5270013e-02,2.00000e+00,
-3.5260014e-02,2.00000e+00,
-3.5250016e-02,2.00000e+00,
-3.5240017e-02,2.00000e+00,
-3.5230018e-02,2.00000e+00,
-3.5220020e-02,2.00000e+00,
-3.5210021e-02,2.00000e+00,
-3.5200022e-02,2.00000e+00,
-3.5190023e-02,2.00000e+00,
-3.5180025e-02,2.00000e+00,
-3.5170026e-02,2.00000e+00,
-3.5160027e-02,2.00000e+00,
-3.5150029e-02,2.00000e+00,
-3.5140030e-02,2.00000e+00,
-3.5130031e-02,2.00000e+00,
-3.5120033e-02,2.00000e+00,
-3.5110034e-02,2.00000e+00,
-3.5100035e-02,2.00000e+00,
-3.5090037e-02,2.00000e+00,
-3.5080038e-02,2.00000e+00,
-3.5070039e-02,2.00000e+00,
-3.5060041e-02,2.00000e+00,
-3.5050042e-02,2.00000e+00,
-3.5040043e-02,2.00000e+00,
-3.5030045e-02,2.00000e+00,
-3.5020046e-02,2.00000e+00,
-3.5010047e-02,2.00000e+00,
-3.5000049e-02,2.00000e+00,
-3.4990050e-02,2.00000e+00,
-3.4980051e-02,2.00000e+00,
-3.4970053e-02,2.00000e+00,
-3.4960054e-02,2.00000e+00,
-3.4950055e-02,2.00000e+00,
-3.4940057e-02,1.60000e+00,
-3.4930058e-02,2.00000e+00,
-3.4920059e-02,2.00000e+00,
-3.4910060e-02,2.00000e+00,
-3.4900062e-02,2.00000e+00,
-3.4890063e-02,2.00000e+00,
-3.4880064e-02,2.00000e+00,
-3.4870066e-02,2.00000e+00,
-3.4860067e-02,2.00000e+00,
-3.4850068e-02,2.00000e+00,
-3.4840070e-02,2.00000e+00,
-3.4830071e-02,2.00000e+00,
-3.4820072e-02,2.00000e+00,
-3.4810074e-02,2.00000e+00,
-3.4800075e-02,2.00000e+00,
-3.4790076e-02,2.00000e+00,
-3.4780078e-02,2.00000e+00,
-3.4770079e-02,2.00000e+00,
-3.4760080e-02,2.00000e+00,
-3.4750082e-02,2.00000e+00,
-3.4740083e-02,2.00000e+00,
-3.4730084e-02,2.00000e+00,
-3.4720086e-02,2.00000e+00,
-3.4710087e-02,2.00000e+00,
-3.4700088e-02,2.00000e+00,
-3.4690090e-02,2.00000e+00,
-3.4680091e-02,2.00000e+00,
-3.4670092e-02,2.00000e+00,
-3.4660093e-02,2.00000e+00,
-3.4650095e-02,1.60000e+00,
-3.4640096e-02,2.00000e+00,
-3.4630097e-02,2.00000e+00,
-3.4620099e-02,2.00000e+00,
-3.4610100e-02,2.00000e+00,
-3.4600101e-02,2.00000e+00,
-3.4590103e-02,2.00000e+00,
-3.4580104e-02,2.00000e+00,
-3.4570105e-02,2.00000e+00,
-3.4560107e-02,2.00000e+00,
-3.4550108e-02,2.00000e+00,
-3.4540109e-02,2.00000e+00,
-3.4530111e-02,2.00000e+00,
-3.4520112e-02,2.00000e+00,
-3.4510113e-02,2.00000e+00,
-3.4500115e-02,2.00000e+00,
-3.4490116e-02,2.00000e+00,
-3.4480117e-02,2.00000e+00,
-3.4470119e-02,2.00000e+00,
-3.4460120e-02,2.00000e+00,
-3.4450121e-02,2.00000e+00,
-3.4440123e-02,2.00000e+00,
-3.4430124e-02,2.00000e+00,
-3.4420125e-02,2.00000e+00,
-3.4410127e-02,2.00000e+00,
-3.4400128e-02,2.00000e+00,
-3.4390129e-02,2.00000e+00,
-3.4380130e-02,2.00000e+00,
-3.4370132e-02,2.00000e+00,
-3.4360133e-02,2.00000e+00,
-3.4350134e-02,2.00000e+00,
-3.4340136e-02,2.00000e+00,
-3.4330137e-02,2.00000e+00,
-3.4320138e-02,2.00000e+00,
-3.4310140e-02,2.00000e+00,
