x,y
-1.3784000e-01,-3.81470e-06,
-1.3782001e-01,-3.81470e-06,
-1.3780001e-01,-3.81470e-06,
-1.3778001e-01,-3.81470e-06,
-1.3776001e-01,-3.81470e-06,
-1.3774002e-01,-3.81470e-06,
-1.3772002e-01,-3.81470e-06,
-1.3770002e-01,-3.81470e-06,
-1.3768002e-01,-3.81470e-06,
-1.3766003e-01,-3.81470e-06,
-1.3764003e-01,-3.81470e-06,
-1.3762003e-01,-3.81470e-06,
-1.3760003e-01,-3.81470e-06,
-1.3758004e-01,-3.81470e-06,
-1.3756004e-01,-3.81470e-06,
-1.3754004e-01,-3.81470e-06,
-1.3752005e-01,-3.81470e-06,
-1.3750005e-01,-3.81470e-06,
-1.3748005e-01,-3.81470e-06,
-1.3746005e-01,-3.81470e-06,
-1.3744006e-01,-3.81470e-06,
-1.3742006e-01,-3.81470e-06,
-1.3740006e-01,-3.81470e-06,
-1.3738006e-01,-3.81470e-06,
-1.3736007e-01,-3.81470e-06,
-1.3734007e-01,-3.81470e-06,
-1.3732007e-01,-3.81470e-06,
-1.3730007e-01,-3.81470e-06,
-1.3728008e-01,-3.81470e-06,
-1.3726008e-01,-3.81470e-06,
-1.3724008e-01,-3.81470e-06,
-1.3722008e-01,-3.81470e-06,
-1.3720009e-01,-3.81470e-06,
-1.3718009e-01,-3.81470e-06,
-1.3716009e-01,-3.81470e-06,
-1.3714010e-01,-3.81470e-06,
-1.3712010e-01,-3.81470e-06,
-1.3710010e-01,-3.81470e-06,
-1.3708010e-01,-3.81470e-06,
-1.3706011e-01,-3.81470e-06,
-1.3704011e-01,-3.81470e-06,
-1.3702011e-01,-3.81470e-06,
-1.3700011e-01,-3.81470e-06,
-1.3698012e-01,-3.81470e-06,
-1.3696012e-01,-3.81470e-06,
-1.3694012e-01,-3.81470e-06,
-1.3692012e-01,-3.81470e-06,
-1.3690013e-01,-3.81470e-06,
-1.3688013e-01,-3.81470e-06,
-1.3686013e-01,-3.81470e-06,
-1.3684013e-01,-3.81470e-06,
-1.3682014e-01,-3.81470e-06,
-1.3680014e-01,-3.81470e-06,
-1.3678014e-01,-3.81470e-06,
-1.3676015e-01,-3.81470e-06,
-1.3674015e-01,-3.81470e-06,
-1.3672015e-01,-3.81470e-06,
-1.3670015e-01,-3.81470e-06,
-1.3668016e-01,-3.81470e-06,
-1.3666016e-01,-3.81470e-06,
-1.3664016e-01,-3.81470e-06,
-1.3662016e-01,-3.81470e-06,
-1.3660017e-01,-3.81470e-06,
-1.3658017e-01,-3.81470e-06,
-1.3656017e-01,-3.81470e-06,
-1.3654017e-01,-3.81470e-06,
-1.3652018e-01,-3.81470e-06,
-1.3650018e-01,-3.81470e-06,
-1.3648018e-01,-3.81470e-06,
-1.3646019e-01,-3.81470e-06,
-1.3644019e-01,-3.81470e-06,
-1.3642019e-01,-3.81470e-06,
-1.3640019e-01,-3.81470e-06,
-1.3638020e-01,-3.81470e-06,
-1.3636020e-01,-3.81470e-06,
-1.3634020e-01,-3.81470e-06,
-1.3632020e-01,-3.81470e-06,
-1.3630021e-01,-3.81470e-06,
-1.3628021e-01,-3.81470e-06,
-1.3626021e-01,-3.81470e-06,
-1.3624021e-01,-3.81470e-06,
-1.3622022e-01,-3.81470e-06,
-1.3620022e-01,-3.81470e-06,
-1.3618022e-01,-3.81470e-06,
-1.3616022e-01,-3.81470e-06,
-1.3614023e-01,-3.81470e-06,
-1.3612023e-01,-3.81470e-06,
-1.3610023e-01,-3.81470e-06,
-1.3608024e-01,-3.81470e-06,
-1.3606024e-01,-3.81470e-06,
-1.3604024e-01,-3.81470e-06,
-1.3602024e-01,-3.81470e-06,
-1.3600025e-01,-3.81470e-06,
-1.3598025e-01,-3.81470e-06,
-1.3596025e-01,-3.81470e-06,
-1.3594025e-01,-3.81470e-06,
-1.3592026e-01,-3.81470e-06,
-1.3590026e-01,-3.81470e-06,
-1.3588026e-01,-3.81470e-06,
-1.3586026e-01,-3.81470e-06,
-1.3584027e-01,-3.81470e-06,
-1.3582027e-01,-3.81470e-06,
-1.3580027e-01,-3.81470e-06,
-1.3578027e-01,-3.81470e-06,
-1.3576028e-01,-3.81470e-06,
-1.3574028e-01,-3.81470e-06,
-1.3572028e-01,-3.81470e-06,
-1.3570029e-01,-3.81470e-06,
-1.3568029e-01,-3.81470e-06,
-1.3566029e-01,-3.81470e-06,
-1.3564029e-01,-3.81470e-06,
-1.3562030e-01,-3.81470e-06,
-1.3560030e-01,-3.81470e-06,
-1.3558030e-01,-3.81470e-06,
-1.3556030e-01,-3.81470e-06,
-1.3554031e-01,-3.81470e-06,
-1.3552031e-01,-3.81470e-06,
-1.3550031e-01,-3.81470e-06,
-1.3548031e-01,-3.81470e-06,
-1.3546032e-01,-3.81470e-06,
-1.3544032e-01,-3.81470e-06,
-1.3542032e-01,-3.81470e-06,
-1.3540033e-01,3.63995e-01,
-1.3538033e-01,-3.81470e-06,
-1.3536033e-01,-3.81470e-06,
-1.3534033e-01,-3.81470e-06,
-1.3532034e-01,-3.81470e-06,
-1.3530034e-01,-3.81470e-06,
-1.3528034e-01,-3.81470e-06,
-1.3526034e-01,-3.81470e-06,
-1.3524035e-01,-3.81470e-06,
-1.3522035e-01,-3.81470e-06,
-1.3520035e-01,-3.81470e-06,
-1.3518035e-01,-3.81470e-06,
-1.3516036e-01,-3.81470e-06,
-1.3514036e-01,-3.81470e-06,
-1.3512036e-01,-3.81470e-06,
-1.3510036e-01,-3.81470e-06,
-1.3508037e-01,-3.81470e-06,
-1.3506037e-01,-3.81470e-06,
-1.3504037e-01,-3.81470e-06,
-1.3502038e-01,-3.81470e-06,
-1.3500038e-01,-3.81470e-06,
-1.3498038e-01,-3.81470e-06,
-1.3496038e-01,-3.81470e-06,
-1.3494039e-01,-3.81470e-06,
-1.3492039e-01,-3.81470e-06,
-1.3490039e-01,-3.81470e-06,
-1.3488039e-01,-3.81470e-06,
-1.3486040e-01,-3.81470e-06,
-1.3484040e-01,-3.81470e-06,
-1.3482040e-01,3.63995e-01,
-1.3480040e-01,-3.81470e-06,
-1.3478041e-01,-3.81470e-06,
-1.3476041e-01,-3.81470e-06,
-1.3474041e-01,-3.81470e-06,
-1.3472041e-01,-3.81470e-06,
-1.3470042e-01,-3.81470e-06,
-1.3468042e-01,-3.81470e-06,
-1.3466042e-01,-3.81470e-06,
-1.3464043e-01,-3.81470e-06,
-1.3462043e-01,-3.81470e-06,
-1.3460043e-01,-3.81470e-06,
-1.3458043e-01,-3.81470e-06,
-1.3456044e-01,-3.81470e-06,
-1.3454044e-01,-3.81470e-06,
-1.3452044e-01,-3.81470e-06,
-1.3450044e-01,-3.81470e-06,
-1.3448045e-01,-3.81470e-06,
-1.3446045e-01,-3.81470e-06,
-1.3444045e-01,-3.81470e-06,
-1.3442045e-01,-3.81470e-06,
-1.3440046e-01,-3.81470e-06,
-1.3438046e-01,-3.81470e-06,
-1.3436046e-01,-3.81470e-06,
-1.3434047e-01,-3.81470e-06,
-1.3432047e-01,-3.81470e-06,
-1.3430047e-01,-3.81470e-06,
-1.3428047e-01,-3.81470e-06,
-1.3426048e-01,-3.81470e-06,
-1.3424048e-01,-3.81470e-06,
-1.3422048e-01,-3.81470e-06,
-1.3420048e-01,-3.81470e-06,
-1.3418049e-01,-3.81470e-06,
-1.3416049e-01,-3.81470e-06,
-1.3414049e-01,-3.81470e-06,
-1.3412049e-01,-3.81470e-06,
-1.3410050e-01,-3.81470e-06,
-1.3408050e-01,-3.81470e-06,
-1.3406050e-01,-3.81470e-06,
-1.3404050e-01,-3.81470e-06,
-1.3402051e-01,-3.81470e-06,
-1.3400051e-01,-3.81470e-06,
-1.3398051e-01,-3.81470e-06,
-1.3396052e-01,-3.81470e-06,
-1.3394052e-01,-3.81470e-06,
-1.3392052e-01,-3.81470e-06,
-1.3390052e-01,-3.81470e-06,
-1.3388053e-01,-3.81470e-06,
-1.3386053e-01,-3.81470e-06,
-1.3384053e-01,-3.81470e-06,
-1.3382053e-01,-3.81470e-06,
-1.3380054e-01,-3.81470e-06,
-1.3378054e-01,-3.81470e-06,
-1.3376054e-01,-3.81470e-06,
-1.3374054e-01,-3.81470e-06,
-1.3372055e-01,-3.81470e-06,
-1.3370055e-01,-3.81470e-06,
-1.3368055e-01,-3.81470e-06,
-1.3366055e-01,-3.81470e-06,
-1.3364056e-01,-3.81470e-06,
-1.3362056e-01,-3.81470e-06,
-1.3360056e-01,-3.81470e-06,
-1.3358057e-01,-3.81470e-06,
-1.3356057e-01,-3.81470e-06,
-1.3354057e-01,-3.81470e-06,
-1.3352057e-01,3.63995e-01,
-1.3350058e-01,-3.81470e-06,
-1.3348058e-01,-3.81470e-06,
-1.3346058e-01,-3.81470e-06,
-1.3344058e-01,-3.81470e-06,
-1.3342059e-01,-3.81470e-06,
-1.3340059e-01,-3.81470e-06,
-1.3338059e-01,-3.81470e-06,
-1.3336059e-01,-3.81470e-06,
-1.3334060e-01,-3.81470e-06,
-1.3332060e-01,-3.81470e-06,
-1.3330060e-01,-3.81470e-06,
-1.3328061e-01,-3.81470e-06,
-1.3326061e-01,-3.81470e-06,
-1.3324061e-01,-3.81470e-06,
-1.3322061e-01,-3.81470e-06,
-1.3320062e-01,-3.81470e-06,
-1.3318062e-01,-3.64006e-01,
-1.3316062e-01,-3.81470e-06,
-1.3314062e-01,-3.81470e-06,
-1.3312063e-01,-3.81470e-06,
-1.3310063e-01,-3.81470e-06,
-1.3308063e-01,-3.81470e-06,
-1.3306063e-01,-3.81470e-06,
-1.3304064e-01,-3.81470e-06,
-1.3302064e-01,-3.81470e-06,
-1.3300064e-01,-3.81470e-06,
-1.3298064e-01,-3.81470e-06,
-1.3296065e-01,-3.81470e-06,
-1.3294065e-01,-3.81470e-06,
-1.3292065e-01,-3.81470e-06,
-1.3290066e-01,-3.81470e-06,
-1.3288066e-01,-3.81470e-06,
-1.3286066e-01,-3.81470e-06,
-1.3284066e-01,-3.81470e-06,
-1.3282067e-01,-3.81470e-06,
-1.3280067e-01,-3.81470e-06,
-1.3278067e-01,-3.81470e-06,
-1.3276067e-01,-3.81470e-06,
-1.3274068e-01,-3.81470e-06,
-1.3272068e-01,-3.81470e-06,
-1.3270068e-01,-3.81470e-06,
-1.3268068e-01,-3.81470e-06,
-1.3266069e-01,-3.81470e-06,
-1.3264069e-01,-3.81470e-06,
-1.3262069e-01,-3.81470e-06,
-1.3260069e-01,-3.81470e-06,
-1.3258070e-01,-3.81470e-06,
-1.3256070e-01,-3.81470e-06,
-1.3254070e-01,-3.81470e-06,
-1.3252071e-01,-3.81470e-06,
-1.3250071e-01,-3.81470e-06,
-1.3248071e-01,-3.81470e-06,
-1.3246071e-01,-3.81470e-06,
-1.3244072e-01,-3.81470e-06,
-1.3242072e-01,-3.81470e-06,
-1.3240072e-01,-3.81470e-06,
-1.3238072e-01,-3.81470e-06,
-1.3236073e-01,-3.81470e-06,
-1.3234073e-01,-3.81470e-06,
-1.3232073e-01,-3.81470e-06,
-1.3230073e-01,-3.81470e-06,
-1.3228074e-01,-3.81470e-06,
-1.3226074e-01,-3.81470e-06,
-1.3224074e-01,-3.81470e-06,
-1.3222075e-01,-3.81470e-06,
-1.3220075e-01,-3.81470e-06,
-1.3218075e-01,-3.81470e-06,
-1.3216075e-01,-3.81470e-06,
-1.3214076e-01,-3.81470e-06,
-1.3212076e-01,-3.81470e-06,
-1.3210076e-01,-3.81470e-06,
-1.3208076e-01,-3.81470e-06,
-1.3206077e-01,-3.81470e-06,
-1.3204077e-01,-3.81470e-06,
-1.3202077e-01,-3.81470e-06,
-1.3200077e-01,-3.81470e-06,
-1.3198078e-01,-3.81470e-06,
-1.3196078e-01,-3.81470e-06,
-1.3194078e-01,-3.81470e-06,
-1.3192078e-01,-3.81470e-06,
-1.3190079e-01,-3.81470e-06,
-1.3188079e-01,-3.81470e-06,
-1.3186079e-01,-3.81470e-06,
-1.3184080e-01,-3.81470e-06,
-1.3182080e-01,-3.81470e-06,
-1.3180080e-01,-3.81470e-06,
-1.3178080e-01,-3.81470e-06,
-1.3176081e-01,-3.81470e-06,
-1.3174081e-01,-3.81470e-06,
-1.3172081e-01,-3.81470e-06,
-1.3170081e-01,-3.81470e-06,
-1.3168082e-01,-3.81470e-06,
-1.3166082e-01,-3.81470e-06,
-1.3164082e-01,3.63995e-01,
-1.3162082e-01,-3.81470e-06,
-1.3160083e-01,-3.81470e-06,
-1.3158083e-01,-3.81470e-06,
-1.3156083e-01,-3.81470e-06,
-1.3154083e-01,-3.81470e-06,
-1.3152084e-01,-3.81470e-06,
-1.3150084e-01,-3.81470e-06,
-1.3148084e-01,-3.81470e-06,
-1.3146085e-01,-3.81470e-06,
-1.3144085e-01,-3.81470e-06,
-1.3142085e-01,-3.81470e-06,
-1.3140085e-01,-3.81470e-06,
-1.3138086e-01,-3.81470e-06,
-1.3136086e-01,-3.81470e-06,
-1.3134086e-01,-3.81470e-06,
-1.3132086e-01,-3.81470e-06,
-1.3130087e-01,-3.81470e-06,
-1.3128087e-01,-3.81470e-06,
-1.3126087e-01,-3.81470e-06,
-1.3124087e-01,-3.81470e-06,
-1.3122088e-01,-3.81470e-06,
-1.3120088e-01,-3.81470e-06,
-1.3118088e-01,-3.81470e-06,
-1.3116089e-01,-3.81470e-06,
-1.3114089e-01,-3.81470e-06,
-1.3112089e-01,-3.81470e-06,
-1.3110089e-01,-3.81470e-06,
-1.3108090e-01,-3.81470e-06,
-1.3106090e-01,-3.81470e-06,
-1.3104090e-01,-3.81470e-06,
-1.3102090e-01,-3.81470e-06,
-1.3100091e-01,-3.81470e-06,
-1.3098091e-01,-3.81470e-06,
-1.3096091e-01,-3.81470e-06,
-1.3094091e-01,-3.81470e-06,
-1.3092092e-01,-3.81470e-06,
-1.3090092e-01,-3.81470e-06,
-1.3088092e-01,-3.81470e-06,
-1.3086092e-01,-3.81470e-06,
-1.3084093e-01,-3.81470e-06,
-1.3082093e-01,-3.81470e-06,
-1.3080093e-01,-3.81470e-06,
-1.3078094e-01,-3.81470e-06,
-1.3076094e-01,-3.81470e-06,
-1.3074094e-01,-3.81470e-06,
-1.3072094e-01,-3.81470e-06,
-1.3070095e-01,-3.81470e-06,
-1.3068095e-01,-3.81470e-06,
-1.3066095e-01,-3.81470e-06,
-1.3064095e-01,-3.81470e-06,
-1.3062096e-01,-3.81470e-06,
-1.3060096e-01,-3.81470e-06,
-1.3058096e-01,-3.81470e-06,
-1.3056096e-01,3.63995e-01,
-1.3054097e-01,-3.81470e-06,
-1.3052097e-01,3.63995e-01,
-1.3050097e-01,-3.81470e-06,
-1.3048097e-01,-3.81470e-06,
-1.3046098e-01,-3.81470e-06,
-1.3044098e-01,-3.81470e-06,
-1.3042098e-01,-3.81470e-06,
-1.3040099e-01,-3.81470e-06,
-1.3038099e-01,-3.81470e-06,
-1.3036099e-01,-3.81470e-06,
-1.3034099e-01,-3.81470e-06,
-1.3032100e-01,-3.81470e-06,
-1.3030100e-01,-3.81470e-06,
-1.3028100e-01,-3.81470e-06,
-1.3026100e-01,-3.81470e-06,
-1.3024101e-01,-3.81470e-06,
-1.3022101e-01,-3.81470e-06,
-1.3020101e-01,-3.81470e-06,
-1.3018101e-01,-3.81470e-06,
-1.3016102e-01,-3.81470e-06,
-1.3014102e-01,-3.81470e-06,
-1.3012102e-01,-3.81470e-06,
-1.3010103e-01,-3.81470e-06,
-1.3008103e-01,-3.81470e-06,
-1.3006103e-01,-3.81470e-06,
-1.3004103e-01,-3.81470e-06,
-1.3002104e-01,-3.81470e-06,
-1.3000104e-01,-3.81470e-06,
-1.2998104e-01,-3.81470e-06,
-1.2996104e-01,-3.81470e-06,
-1.2994105e-01,-3.81470e-06,
-1.2992105e-01,-3.81470e-06,
-1.2990105e-01,-3.81470e-06,
-1.2988105e-01,-3.81470e-06,
-1.2986106e-01,-3.81470e-06,
-1.2984106e-01,-3.81470e-06,
-1.2982106e-01,-3.81470e-06,
-1.2980106e-01,-3.81470e-06,
-1.2978107e-01,-3.81470e-06,
-1.2976107e-01,-3.81470e-06,
-1.2974107e-01,-3.81470e-06,
-1.2972108e-01,-3.81470e-06,
-1.2970108e-01,-3.81470e-06,
-1.2968108e-01,-3.81470e-06,
-1.2966108e-01,-3.81470e-06,
-1.2964109e-01,-3.81470e-06,
-1.2962109e-01,-3.81470e-06,
-1.2960109e-01,-3.81470e-06,
-1.2958109e-01,-3.81470e-06,
-1.2956110e-01,-3.81470e-06,
-1.2954110e-01,-3.81470e-06,
-1.2952110e-01,-3.81470e-06,
-1.2950110e-01,-3.81470e-06,
-1.2948111e-01,-3.81470e-06,
-1.2946111e-01,-3.81470e-06,
-1.2944111e-01,-3.81470e-06,
-1.2942111e-01,-3.81470e-06,
-1.2940112e-01,-3.81470e-06,
-1.2938112e-01,-3.81470e-06,
-1.2936112e-01,-3.81470e-06,
-1.2934113e-01,-3.81470e-06,
-1.2932113e-01,-3.81470e-06,
-1.2930113e-01,-3.81470e-06,
-1.2928113e-01,-3.81470e-06,
-1.2926114e-01,-3.81470e-06,
-1.2924114e-01,-3.81470e-06,
-1.2922114e-01,-3.81470e-06,
-1.2920114e-01,-3.81470e-06,
-1.2918115e-01,-3.81470e-06,
-1.2916115e-01,-3.81470e-06,
-1.2914115e-01,-3.81470e-06,
-1.2912115e-01,-3.81470e-06,
-1.2910116e-01,-3.81470e-06,
-1.2908116e-01,-3.81470e-06,
-1.2906116e-01,-3.81470e-06,
-1.2904117e-01,-3.81470e-06,
-1.2902117e-01,-3.81470e-06,
-1.2900117e-01,-3.81470e-06,
-1.2898117e-01,-3.81470e-06,
-1.2896118e-01,-3.81470e-06,
-1.2894118e-01,-3.81470e-06,
-1.2892118e-01,-3.81470e-06,
-1.2890118e-01,-3.81470e-06,
-1.2888119e-01,-3.81470e-06,
-1.2886119e-01,-3.81470e-06,
-1.2884119e-01,-3.81470e-06,
-1.2882119e-01,-3.81470e-06,
-1.2880120e-01,-3.81470e-06,
-1.2878120e-01,-3.81470e-06,
-1.2876120e-01,-3.81470e-06,
-1.2874120e-01,-3.81470e-06,
-1.2872121e-01,-3.81470e-06,
-1.2870121e-01,-3.81470e-06,
-1.2868121e-01,-3.81470e-06,
-1.2866122e-01,-3.81470e-06,
-1.2864122e-01,-3.81470e-06,
-1.2862122e-01,-3.81470e-06,
-1.2860122e-01,-3.81470e-06,
-1.2858123e-01,-3.81470e-06,
-1.2856123e-01,-3.81470e-06,
-1.2854123e-01,-3.81470e-06,
-1.2852123e-01,-3.81470e-06,
-1.2850124e-01,-3.81470e-06,
-1.2848124e-01,-3.81470e-06,
-1.2846124e-01,-3.81470e-06,
-1.2844124e-01,-3.81470e-06,
-1.2842125e-01,-3.81470e-06,
-1.2840125e-01,-3.81470e-06,
-1.2838125e-01,-3.81470e-06,
-1.2836125e-01,-3.81470e-06,
-1.2834126e-01,-3.81470e-06,
-1.2832126e-01,-3.81470e-06,
-1.2830126e-01,-3.81470e-06,
-1.2828127e-01,-3.81470e-06,
-1.2826127e-01,-3.81470e-06,
-1.2824127e-01,-3.81470e-06,
-1.2822127e-01,-3.81470e-06,
-1.2820128e-01,-3.81470e-06,
-1.2818128e-01,-3.81470e-06,
-1.2816128e-01,-3.81470e-06,
-1.2814128e-01,-3.81470e-06,
-1.2812129e-01,-3.81470e-06,
-1.2810129e-01,-3.81470e-06,
-1.2808129e-01,-3.81470e-06,
-1.2806129e-01,-3.81470e-06,
-1.2804130e-01,-3.81470e-06,
-1.2802130e-01,-3.81470e-06,
-1.2800130e-01,-3.81470e-06,
-1.2798131e-01,-3.81470e-06,
-1.2796131e-01,-3.81470e-06,
-1.2794131e-01,-3.81470e-06,
-1.2792131e-01,-3.81470e-06,
-1.2790132e-01,-3.81470e-06,
-1.2788132e-01,-3.81470e-06,
-1.2786132e-01,-3.81470e-06,
-1.2784132e-01,-3.81470e-06,
-1.2782133e-01,-3.81470e-06,
-1.2780133e-01,-3.81470e-06,
-1.2778133e-01,-3.81470e-06,
-1.2776133e-01,-3.81470e-06,
-1.2774134e-01,-3.81470e-06,
-1.2772134e-01,-3.81470e-06,
-1.2770134e-01,-3.81470e-06,
-1.2768134e-01,-3.81470e-06,
-1.2766135e-01,-3.81470e-06,
-1.2764135e-01,-3.81470e-06,
-1.2762135e-01,-3.81470e-06,
-1.2760136e-01,-3.81470e-06,
-1.2758136e-01,-3.81470e-06,
-1.2756136e-01,-3.81470e-06,
-1.2754136e-01,-3.81470e-06,
-1.2752137e-01,-3.81470e-06,
-1.2750137e-01,-3.81470e-06,
-1.2748137e-01,-3.81470e-06,
-1.2746137e-01,-3.81470e-06,
-1.2744138e-01,-3.81470e-06,
-1.2742138e-01,-3.81470e-06,
-1.2740138e-01,-3.81470e-06,
-1.2738138e-01,-3.81470e-06,
-1.2736139e-01,-3.81470e-06,
-1.2734139e-01,-3.81470e-06,
-1.2732139e-01,-3.81470e-06,
-1.2730139e-01,-3.81470e-06,
-1.2728140e-01,-3.81470e-06,
-1.2726140e-01,-3.81470e-06,
-1.2724140e-01,-3.81470e-06,
-1.2722141e-01,-3.81470e-06,
-1.2720141e-01,-3.81470e-06,
-1.2718141e-01,-3.81470e-06,
-1.2716141e-01,-3.81470e-06,
-1.2714142e-01,-3.81470e-06,
-1.2712142e-01,-3.81470e-06,
-1.2710142e-01,-3.81470e-06,
-1.2708142e-01,-3.81470e-06,
-1.2706143e-01,-3.81470e-06,
-1.2704143e-01,-3.81470e-06,
-1.2702143e-01,-3.81470e-06,
-1.2700143e-01,-3.81470e-06,
-1.2698144e-01,-3.81470e-06,
-1.2696144e-01,-3.81470e-06,
-1.2694144e-01,-3.81470e-06,
-1.2692145e-01,-3.81470e-06,
-1.2690145e-01,-3.81470e-06,
-1.2688145e-01,-3.81470e-06,
-1.2686145e-01,-3.81470e-06,
-1.2684146e-01,-3.81470e-06,
-1.2682146e-01,3.63995e-01,
-1.2680146e-01,-3.81470e-06,
-1.2678146e-01,-3.81470e-06,
-1.2676147e-01,-3.81470e-06,
-1.2674147e-01,-3.81470e-06,
-1.2672147e-01,-3.81470e-06,
-1.2670147e-01,-3.81470e-06,
-1.2668148e-01,-3.81470e-06,
-1.2666148e-01,-3.81470e-06,
-1.2664148e-01,3.63995e-01,
-1.2662148e-01,-3.81470e-06,
-1.2660149e-01,-3.81470e-06,
-1.2658149e-01,-3.81470e-06,
-1.2656149e-01,-3.81470e-06,
-1.2654150e-01,-3.81470e-06,
-1.2652150e-01,-3.81470e-06,
-1.2650150e-01,-3.81470e-06,
-1.2648150e-01,-3.81470e-06,
-1.2646151e-01,-3.81470e-06,
-1.2644151e-01,-3.81470e-06,
-1.2642151e-01,-3.81470e-06,
-1.2640151e-01,-3.81470e-06,
-1.2638152e-01,-3.81470e-06,
-1.2636152e-01,-3.81470e-06,
-1.2634152e-01,-3.81470e-06,
-1.2632152e-01,-3.81470e-06,
-1.2630153e-01,-3.81470e-06,
-1.2628153e-01,-3.81470e-06,
-1.2626153e-01,-3.81470e-06,
-1.2624153e-01,-3.81470e-06,
-1.2622154e-01,-3.81470e-06,
-1.2620154e-01,-3.81470e-06,
-1.2618154e-01,-3.81470e-06,
-1.2616155e-01,-3.81470e-06,
-1.2614155e-01,-3.81470e-06,
