N,N2
4136,1.705
4043,0.240
4040,0.193
4106,1.233
4048,0.319
4128,1.579
4037,0.145
4167,2.194
4074,0.728
4024,-0.059
3979,-0.768
4031,0.051
4054,0.413
4015,-0.201
3969,-0.926
3941,-1.367
4043,0.240
4050,0.350
4037,0.145
3927,-1.588
4040,0.193
4183,2.446
3933,-1.493
3932,-1.509
4020,-0.122
4004,-0.375
3950,-1.225
4031,0.051
4019,1.296
4000,0.823
4005,0.508
4060,-0.438
4010,0.019
4030,0.193
4020,-1.383
4015,-2.265
3997,-1.682
4021,-0.564
4025,-1.730
4013,-2.943
3995,-2.470
3960,-2.722
3964,-3.148
4062,-0.910
4080,2.698
4095,1.327
3995,-3.006
4001,1.658
4015,1.091
3986,0.051
4075,0.728
4017,1.374
4025,0.965
4065,1.406
4097,1.028
4017,2.147
4025,2.336
4030,1.359
3996,0.051
4001,2.131
4036,0.461
